@jperez,Juan Perez,juan.perez@pucp.edu.pe,FCI,2020-12-12,22,[@mlopez @rrojas]
@mlopez,María López,maria.lopez@pucp.edu.pe,FAU,2021-03-05,21,[@jperez @dtorres]
@rrojas,Ricardo Rojas,ricardo.rojas@pucp.edu.pe,FCS,2019-11-20,23,[@mmendoza @avaldez]
@cibarra,Carmen Ibarra,carmen.ibarra@pucp.edu.pe,FCS,2022-06-18,20,[@fsanchez]
@dtorres,Diego Torres,diego.torres@pucp.edu.pe,FAU,2020-08-25,24,[@mlopez @avaldez]
@avaldez,Ana Valdez,ana.valdez@pucp.edu.pe,FAU,2021-01-12,22,[@psalazar @jperez]
@lgarcia,Luis García,luis.garcia@pucp.edu.pe,FCI,2019-09-30,25,[@jperez @fsanchez]
@psalazar,Paola Salazar,paola.salazar@pucp.edu.pe,FCS,2022-04-10,21,[@lgarcia @cibarra]
@mmendoza,Marco Mendoza,marco.mendoza@pucp.edu.pe,FCS,2020-07-22,23,[@rrojas @avaldez]
@fsanchez,Fiorella Sánchez,fiorella.sanchez@pucp.edu.pe,FAU,2021-05-15,22,[@cibarra @mlopez]
